job_id,salary_usd,experience_level,education_required,years_experience,required_skills,posting_date,industry
AI00001,90376,SE,Bachelor,9,"Tableau, PyTorch, Kubernetes, Linux, NLP",2024-10-18,Automotive
AI00002,61895,EN,Master,1,"Deep Learning, AWS, Mathematics, Python, Docker",2024-11-20,Media
AI00003,152626,MI,Associate,2,"Kubernetes, Deep Learning, Java, Hadoop, NLP",2025-03-18,Education
AI00004,80215,SE,PhD,7,"Scala, SQL, Linux, Python",2024-12-23,Consulting
AI00005,54624,EN,Master,0,"MLOps, Java, Tableau, Python",2025-04-15,Media
AI00006,123574,SE,Associate,7,"Data Visualization, R, SQL, Linux",2024-08-31,Healthcare
AI00007,79670,MI,Associate,3,"R, Docker, MLOps",2024-12-29,Gaming
AI00008,70640,EN,Master,0,"Python, SQL, Computer Vision, Java, Azure",2024-06-07,Healthcare
AI00009,160710,SE,PhD,7,"Hadoop, Git, Mathematics, Python",2024-11-04,Government
AI00010,102557,SE,Master,5,"MLOps, GCP, Scala, Azure, Linux",2024-10-20,Government
AI00011,102322,SE,Associate,8,"MLOps, Python, SQL",2025-01-29,Telecommunications
AI00012,115047,EX,Master,15,"R, Data Visualization, Python, Azure",2024-07-16,Manufacturing
AI00013,124355,SE,PhD,5,"Tableau, Python, TensorFlow",2024-12-29,Automotive
AI00014,68760,EN,Master,0,"Scala, SQL, Statistics",2024-02-11,Energy
AI00015,150122,SE,Associate,6,"PyTorch, Python, Data Visualization, GCP",2024-10-02,Technology
AI00016,78846,EN,PhD,0,"Linux, Statistics, Deep Learning",2024-09-28,Consulting
AI00017,59823,EN,Bachelor,1,"Tableau, NLP, Spark",2025-02-06,Real Estate
AI00018,181139,EX,Associate,15,"MLOps, PyTorch, Azure",2024-04-24,Real Estate
AI00019,155300,SE,Associate,9,"Git, Hadoop, R, Python, Spark",2024-04-30,Finance
AI00020,93851,MI,PhD,4,"Java, Scala, NLP, Docker, Computer Vision",2024-05-01,Transportation
AI00021,134197,MI,Bachelor,3,"Deep Learning, AWS, Azure",2024-06-21,Telecommunications
AI00022,102550,MI,Bachelor,2,"Tableau, Spark, NLP, TensorFlow, PyTorch",2024-04-23,Automotive
AI00023,99382,SE,PhD,7,"Hadoop, Git, Tableau",2025-03-13,Automotive
AI00024,52167,MI,Master,4,"Git, Hadoop, Docker",2024-06-07,Telecommunications
AI00025,53923,MI,Bachelor,2,"AWS, Azure, Git, SQL, Computer Vision",2024-10-27,Healthcare
AI00026,109779,SE,PhD,6,"Linux, Git, Tableau, Kubernetes, Data Visualization",2024-08-01,Government
AI00027,80979,MI,Master,2,"Hadoop, Linux, Git, Scala",2024-11-18,Media
AI00028,52997,MI,PhD,2,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",2025-01-10,Government
AI00029,42819,EN,PhD,0,"Python, Scala, NLP, Mathematics, Git",2024-10-08,Healthcare
AI00030,82083,MI,Master,2,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",2024-01-18,Retail
AI00031,67488,EN,Master,1,"Deep Learning, GCP, AWS, Linux, Tableau",2024-05-16,Retail
AI00032,68624,EN,Master,1,"Azure, Python, Spark",2024-01-31,Real Estate
AI00033,146852,SE,PhD,7,"NLP, Scala, Python",2024-08-28,Real Estate
AI00034,178183,EX,Associate,16,"Tableau, Azure, GCP, Linux, Python",2024-03-01,Education
AI00035,150864,SE,PhD,8,"R, GCP, MLOps, Linux",2024-10-26,Consulting
AI00036,126942,EX,Associate,10,"Git, Hadoop, Data Visualization",2024-01-31,Finance
AI00037,53752,MI,Associate,2,"Data Visualization, Tableau, AWS, Mathematics, Python",2024-10-17,Telecommunications
AI00038,111381,EX,Master,18,"Linux, PyTorch, SQL, Statistics",2024-01-14,Government
AI00039,41430,EN,Bachelor,1,"Tableau, Docker, GCP",2024-06-15,Healthcare
AI00040,166080,EX,Associate,15,"Computer Vision, Azure, Tableau",2024-03-01,Government
AI00041,96956,MI,Bachelor,2,"Data Visualization, Azure, Spark, MLOps",2024-02-24,Telecommunications
AI00042,196954,SE,Bachelor,8,"Java, Mathematics, SQL",2025-03-17,Finance
AI00043,56745,EN,Associate,1,"Spark, Mathematics, GCP",2025-02-01,Telecommunications
AI00044,113455,SE,Associate,8,"Hadoop, Docker, Python, Azure",2024-04-24,Retail
AI00045,158808,SE,Bachelor,5,"Docker, R, Linux",2025-03-03,Media
AI00046,174663,SE,Associate,7,"Data Visualization, Statistics, R",2024-01-10,Media
AI00047,46753,EN,PhD,1,"Scala, Java, Tableau",2024-11-16,Manufacturing
AI00048,69020,MI,Bachelor,4,"Java, Azure, GCP",2024-09-05,Energy
AI00049,288815,EX,Bachelor,12,"Deep Learning, Git, Data Visualization, Linux, Java",2024-08-08,Manufacturing
AI00050,124871,EX,PhD,19,"Hadoop, AWS, Linux, Docker, Statistics",2025-03-10,Media
AI00051,70391,MI,PhD,4,"Deep Learning, SQL, Mathematics",2024-08-16,Government
AI00052,115376,EX,Master,17,"Linux, R, Azure, Mathematics, Git",2024-03-12,Technology
AI00053,106579,MI,Associate,3,"Docker, Tableau, Mathematics",2024-02-24,Gaming
AI00054,135230,SE,PhD,8,"R, PyTorch, Kubernetes, Computer Vision",2024-07-07,Consulting
AI00055,67607,MI,Master,4,"Python, Tableau, TensorFlow, AWS",2024-08-05,Media
AI00056,88470,MI,Associate,3,"Azure, Kubernetes, TensorFlow, Statistics, Spark",2024-07-29,Real Estate
AI00057,79863,MI,Associate,4,"Python, Docker, GCP, Scala",2024-09-28,Automotive
AI00058,60299,EN,PhD,0,"Git, Linux, Python, TensorFlow, Mathematics",2025-03-22,Finance
AI00059,85645,MI,Associate,4,"PyTorch, Computer Vision, R",2024-02-09,Transportation
AI00060,110222,SE,Associate,8,"R, Spark, AWS",2024-03-20,Media
AI00061,49365,EN,Associate,1,"Tableau, NLP, Azure, Statistics, PyTorch",2024-06-22,Finance
AI00062,162296,SE,Bachelor,6,"TensorFlow, Azure, Computer Vision, Data Visualization",2024-06-05,Finance
AI00063,102382,MI,PhD,3,"TensorFlow, Scala, Docker, Statistics",2024-03-23,Education
AI00064,99972,MI,PhD,4,"Java, R, Deep Learning, NLP, Azure",2024-02-20,Technology
AI00065,64129,EN,Bachelor,0,"Java, Git, Deep Learning",2024-12-15,Manufacturing
AI00066,87938,SE,PhD,8,"Mathematics, Spark, Python, AWS",2024-12-15,Education
AI00067,71405,MI,Associate,4,"SQL, Java, MLOps, Linux, PyTorch",2024-09-01,Retail
AI00068,316182,EX,Associate,12,"Python, Scala, Statistics, Git",2025-02-09,Finance
AI00069,72459,EN,Bachelor,0,"Hadoop, Python, Kubernetes, Azure",2024-08-30,Gaming
AI00070,78338,MI,Associate,3,"MLOps, Kubernetes, Git, Python",2024-10-31,Technology
AI00071,51907,MI,Bachelor,4,"AWS, Kubernetes, Azure",2024-02-14,Healthcare
AI00072,122831,SE,Master,7,"PyTorch, Kubernetes, Git, SQL",2024-05-31,Real Estate
AI00073,124820,MI,Associate,3,"NLP, Azure, Statistics, Spark, Mathematics",2024-08-02,Real Estate
AI00074,134200,SE,PhD,9,"Linux, R, Tableau",2024-11-29,Retail
AI00075,51920,EN,PhD,0,"Scala, R, Tableau, Data Visualization",2025-04-08,Consulting
AI00076,56427,EN,Master,0,"Mathematics, Kubernetes, Spark",2024-11-16,Energy
AI00077,213783,EX,Bachelor,16,"Kubernetes, Spark, Statistics, Scala",2024-09-19,Energy
AI00078,59728,MI,Associate,2,"MLOps, SQL, Statistics",2024-06-10,Finance
