year_month,count,skill
2024-01,296,Python
2024-02,259,Python
2024-03,286,Python
2024-04,291,Python
2024-05,284,Python
2024-06,308,Python
2024-07,304,Python
2024-08,247,Python
2024-09,252,Python
2024-10,286,Python
2024-11,280,Python
2024-12,263,Python
2025-01,286,Python
2025-02,252,Python
2025-03,276,Python
2025-04,280,Python
2024-01,203,TensorFlow
2024-02,180,TensorFlow
2024-03,207,TensorFlow
2024-04,195,TensorFlow
2024-05,184,TensorFlow
2024-06,181,TensorFlow
2024-07,177,TensorFlow
2024-08,198,TensorFlow
2024-09,167,TensorFlow
2024-10,200,TensorFlow
2024-11,194,TensorFlow
2024-12,195,TensorFlow
2025-01,208,TensorFlow
2025-02,152,TensorFlow
2025-03,189,TensorFlow
2025-04,192,TensorFlow
2024-01,167,PyTorch
2024-02,153,PyTorch
2024-03,163,PyTorch
2024-04,203,PyTorch
2024-05,165,PyTorch
2024-06,167,PyTorch
2024-07,176,PyTorch
2024-08,169,PyTorch
2024-09,200,PyTorch
2024-10,174,PyTorch
2024-11,179,PyTorch
2024-12,212,PyTorch
2025-01,170,PyTorch
2025-02,142,PyTorch
2025-03,173,PyTorch
2025-04,164,PyTorch
2024-01,123,MLOps
2024-02,131,MLOps
2024-03,157,MLOps
2024-04,149,MLOps
2024-05,129,MLOps
2024-06,127,MLOps
2024-07,127,MLOps
2024-08,122,MLOps
2024-09,129,MLOps
2024-10,154,MLOps
2024-11,134,MLOps
2024-12,149,MLOps
2025-01,142,MLOps
2025-02,114,MLOps
2025-03,127,MLOps
2025-04,150,MLOps
2024-01,139,AWS
2024-02,112,AWS
2024-03,120,AWS
2024-04,126,AWS
2024-05,130,AWS
2024-06,130,AWS
2024-07,124,AWS
2024-08,103,AWS
2024-09,136,AWS
2024-10,139,AWS
2024-11,135,AWS
2024-12,136,AWS
2025-01,111,AWS
2025-02,102,AWS
2025-03,142,AWS
2025-04,133,AWS
2024-01,142,GCP
2024-02,146,GCP
2024-03,169,GCP
2024-04,144,GCP
2024-05,155,GCP
2024-06,144,GCP
2024-07,153,GCP
2024-08,174,GCP
2024-09,139,GCP
2024-10,147,GCP
2024-11,142,GCP
2024-12,157,GCP
2025-01,171,GCP
2025-02,161,GCP
2025-03,155,GCP
2025-04,143,GCP
2024-01,153,Azure
2024-02,129,Azure
2024-03,123,Azure
2024-04,158,Azure
2024-05,113,Azure
2024-06,139,Azure
2024-07,145,Azure
2024-08,136,Azure
2024-09,124,Azure
2024-10,145,Azure
2024-11,140,Azure
2024-12,123,Azure
2025-01,138,Azure
2025-02,117,Azure
2025-03,129,Azure
2025-04,132,Azure
2024-01,179,Git
2024-02,152,Git
2024-03,156,Git
2024-04,172,Git
2024-05,160,Git
2024-06,163,Git
2024-07,187,Git
2024-08,156,Git
2024-09,160,Git
2024-10,165,Git
2024-11,176,Git
2024-12,173,Git
2025-01,159,Git
2025-02,142,Git
2025-03,174,Git
2025-04,157,Git
